,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDem_Dvar
225,2015,2020,electrolysis_AEL,0.0
226,2015,2020,WindOffShore,0.0
227,2015,2020,CCG_H2,0.0
228,2015,2020,NewNuke,0.0
229,2015,2020,TAC,0.0
230,2015,2020,OldNuke,0.0
231,2015,2020,Solar,0.0
232,2015,2020,IntercoOut,0.0
233,2015,2020,HydroRiver,0.0
234,2015,2020,IntercoIn,0.0
235,2015,2020,HydroReservoir,0.0
236,2015,2020,WindOnShore,0.0
237,2015,2020,TAC_H2,0.0
238,2015,2020,curtailment,0.0
239,2015,2020,Coal_p,0.0
240,2015,2015,CCG,97500.0
241,2015,2015,electrolysis_AEL,0.0
242,2015,2015,WindOffShore,0.0
243,2015,2015,CCG_H2,0.0
244,2015,2015,NewNuke,0.0
245,2015,2015,TAC,96750.0
246,2015,2015,OldNuke,100000.0
247,2015,2015,Solar,84450.0
248,2015,2015,IntercoOut,0.0
249,2015,2015,HydroRiver,89000.0
250,2015,2015,IntercoIn,0.0
251,2015,2015,HydroReservoir,85000.0
252,2015,2015,WindOnShore,87400.0
253,2015,2015,TAC_H2,0.0
254,2015,2015,curtailment,100000.0
255,2015,2015,Coal_p,99500.0
