,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
244,2025,Coal_p,NewNuke,0.0
245,2025,Coal_p,TAC,0.0
246,2025,Coal_p,OldNuke,0.0
247,2025,Coal_p,Solar,0.0
248,2025,Coal_p,IntercoOut,0.0
249,2025,Coal_p,HydroRiver,0.0
250,2025,Coal_p,IntercoIn,0.0
251,2025,Coal_p,HydroReservoir,0.0
252,2025,Coal_p,WindOnShore,0.0
253,2025,Coal_p,TAC_H2,0.0
254,2025,Coal_p,curtailment,0.0
255,2025,Coal_p,Coal_p,0.0
256,2010,CCG,CCG,0.0
257,2010,CCG,electrolysis_AEL,0.0
258,2010,CCG,WindOffShore,0.0
259,2010,CCG,CCG_H2,0.0
260,2010,CCG,NewNuke,0.0
261,2010,CCG,TAC,0.0
262,2010,CCG,OldNuke,0.0
263,2010,CCG,Solar,0.0
264,2010,CCG,IntercoOut,0.0
265,2010,CCG,HydroRiver,0.0
266,2010,CCG,IntercoIn,0.0
267,2010,CCG,HydroReservoir,0.0
268,2010,CCG,WindOnShore,0.0
269,2010,CCG,TAC_H2,0.0
270,2010,CCG,curtailment,0.0
271,2010,CCG,Coal_p,0.0
272,2010,electrolysis_AEL,CCG,0.0
273,2010,electrolysis_AEL,electrolysis_AEL,0.0
274,2010,electrolysis_AEL,WindOffShore,0.0
275,2010,electrolysis_AEL,CCG_H2,0.0
276,2010,electrolysis_AEL,NewNuke,0.0
277,2010,electrolysis_AEL,TAC,0.0
278,2010,electrolysis_AEL,OldNuke,0.0
279,2010,electrolysis_AEL,Solar,0.0
280,2010,electrolysis_AEL,IntercoOut,0.0
281,2010,electrolysis_AEL,HydroRiver,0.0
282,2010,electrolysis_AEL,IntercoIn,0.0
283,2010,electrolysis_AEL,HydroReservoir,0.0
284,2010,electrolysis_AEL,WindOnShore,0.0
285,2010,electrolysis_AEL,TAC_H2,0.0
286,2010,electrolysis_AEL,curtailment,0.0
287,2010,electrolysis_AEL,Coal_p,0.0
288,2010,WindOffShore,CCG,0.0
289,2010,WindOffShore,electrolysis_AEL,0.0
290,2010,WindOffShore,WindOffShore,0.0
291,2010,WindOffShore,CCG_H2,0.0
292,2010,WindOffShore,NewNuke,0.0
293,2010,WindOffShore,TAC,0.0
294,2010,WindOffShore,OldNuke,0.0
295,2010,WindOffShore,Solar,0.0
296,2010,WindOffShore,IntercoOut,0.0
297,2010,WindOffShore,HydroRiver,0.0
298,2010,WindOffShore,IntercoIn,0.0
299,2010,WindOffShore,HydroReservoir,0.0
300,2010,WindOffShore,WindOnShore,0.0
301,2010,WindOffShore,TAC_H2,0.0
302,2010,WindOffShore,curtailment,0.0
303,2010,WindOffShore,Coal_p,0.0
304,2010,CCG_H2,CCG,0.0
305,2010,CCG_H2,electrolysis_AEL,0.0
306,2010,CCG_H2,WindOffShore,0.0
307,2010,CCG_H2,CCG_H2,0.0
308,2010,CCG_H2,NewNuke,0.0
309,2010,CCG_H2,TAC,0.0
310,2010,CCG_H2,OldNuke,0.0
311,2010,CCG_H2,Solar,0.0
312,2010,CCG_H2,IntercoOut,0.0
313,2010,CCG_H2,HydroRiver,0.0
314,2010,CCG_H2,IntercoIn,0.0
315,2010,CCG_H2,HydroReservoir,0.0
316,2010,CCG_H2,WindOnShore,0.0
317,2010,CCG_H2,TAC_H2,0.0
318,2010,CCG_H2,curtailment,0.0
319,2010,CCG_H2,Coal_p,0.0
320,2010,NewNuke,CCG,0.0
321,2010,NewNuke,electrolysis_AEL,0.0
322,2010,NewNuke,WindOffShore,0.0
323,2010,NewNuke,CCG_H2,0.0
324,2010,NewNuke,NewNuke,0.0
325,2010,NewNuke,TAC,0.0
326,2010,NewNuke,OldNuke,0.0
327,2010,NewNuke,Solar,0.0
328,2010,NewNuke,IntercoOut,0.0
329,2010,NewNuke,HydroRiver,0.0
330,2010,NewNuke,IntercoIn,0.0
331,2010,NewNuke,HydroReservoir,0.0
332,2010,NewNuke,WindOnShore,0.0
333,2010,NewNuke,TAC_H2,0.0
334,2010,NewNuke,curtailment,0.0
335,2010,NewNuke,Coal_p,0.0
336,2010,TAC,CCG,0.0
337,2010,TAC,electrolysis_AEL,0.0
338,2010,TAC,WindOffShore,0.0
339,2010,TAC,CCG_H2,0.0
340,2010,TAC,NewNuke,0.0
341,2010,TAC,TAC,0.0
342,2010,TAC,OldNuke,0.0
343,2010,TAC,Solar,0.0
344,2010,TAC,IntercoOut,0.0
345,2010,TAC,HydroRiver,0.0
346,2010,TAC,IntercoIn,0.0
347,2010,TAC,HydroReservoir,0.0
348,2010,TAC,WindOnShore,0.0
349,2010,TAC,TAC_H2,0.0
350,2010,TAC,curtailment,0.0
351,2010,TAC,Coal_p,0.0
352,2010,OldNuke,CCG,0.0
353,2010,OldNuke,electrolysis_AEL,0.0
354,2010,OldNuke,WindOffShore,0.0
355,2010,OldNuke,CCG_H2,0.0
356,2010,OldNuke,NewNuke,0.0
357,2010,OldNuke,TAC,0.0
358,2010,OldNuke,OldNuke,0.0
359,2010,OldNuke,Solar,0.0
360,2010,OldNuke,IntercoOut,0.0
361,2010,OldNuke,HydroRiver,0.0
362,2010,OldNuke,IntercoIn,0.0
363,2010,OldNuke,HydroReservoir,0.0
364,2010,OldNuke,WindOnShore,0.0
365,2010,OldNuke,TAC_H2,0.0
366,2010,OldNuke,curtailment,0.0
367,2010,OldNuke,Coal_p,0.0
368,2010,Solar,CCG,0.0
369,2010,Solar,electrolysis_AEL,0.0
370,2010,Solar,WindOffShore,0.0
371,2010,Solar,CCG_H2,0.0
372,2010,Solar,NewNuke,0.0
373,2010,Solar,TAC,0.0
374,2010,Solar,OldNuke,0.0
375,2010,Solar,Solar,0.0
376,2010,Solar,IntercoOut,0.0
377,2010,Solar,HydroRiver,0.0
378,2010,Solar,IntercoIn,0.0
379,2010,Solar,HydroReservoir,0.0
380,2010,Solar,WindOnShore,0.0
381,2010,Solar,TAC_H2,0.0
382,2010,Solar,curtailment,0.0
383,2010,Solar,Coal_p,0.0
384,2010,IntercoOut,CCG,0.0
385,2010,IntercoOut,electrolysis_AEL,0.0
386,2010,IntercoOut,WindOffShore,0.0
387,2010,IntercoOut,CCG_H2,0.0
388,2010,IntercoOut,NewNuke,0.0
389,2010,IntercoOut,TAC,0.0
390,2010,IntercoOut,OldNuke,0.0
391,2010,IntercoOut,Solar,0.0
392,2010,IntercoOut,IntercoOut,0.0
393,2010,IntercoOut,HydroRiver,0.0
394,2010,IntercoOut,IntercoIn,0.0
395,2010,IntercoOut,HydroReservoir,0.0
396,2010,IntercoOut,WindOnShore,0.0
397,2010,IntercoOut,TAC_H2,0.0
398,2010,IntercoOut,curtailment,0.0
399,2010,IntercoOut,Coal_p,0.0
400,2010,HydroRiver,CCG,0.0
401,2010,HydroRiver,electrolysis_AEL,0.0
402,2010,HydroRiver,WindOffShore,0.0
403,2010,HydroRiver,CCG_H2,0.0
404,2010,HydroRiver,NewNuke,0.0
405,2010,HydroRiver,TAC,0.0
406,2010,HydroRiver,OldNuke,0.0
407,2010,HydroRiver,Solar,0.0
408,2010,HydroRiver,IntercoOut,0.0
409,2010,HydroRiver,HydroRiver,0.0
410,2010,HydroRiver,IntercoIn,0.0
411,2010,HydroRiver,HydroReservoir,0.0
412,2010,HydroRiver,WindOnShore,0.0
413,2010,HydroRiver,TAC_H2,0.0
414,2010,HydroRiver,curtailment,0.0
415,2010,HydroRiver,Coal_p,0.0
416,2010,IntercoIn,CCG,0.0
417,2010,IntercoIn,electrolysis_AEL,0.0
418,2010,IntercoIn,WindOffShore,0.0
419,2010,IntercoIn,CCG_H2,0.0
420,2010,IntercoIn,NewNuke,0.0
421,2010,IntercoIn,TAC,0.0
422,2010,IntercoIn,OldNuke,0.0
423,2010,IntercoIn,Solar,0.0
424,2010,IntercoIn,IntercoOut,0.0
425,2010,IntercoIn,HydroRiver,0.0
426,2010,IntercoIn,IntercoIn,0.0
427,2010,IntercoIn,HydroReservoir,0.0
428,2010,IntercoIn,WindOnShore,0.0
429,2010,IntercoIn,TAC_H2,0.0
430,2010,IntercoIn,curtailment,0.0
431,2010,IntercoIn,Coal_p,0.0
432,2010,HydroReservoir,CCG,0.0
433,2010,HydroReservoir,electrolysis_AEL,0.0
434,2010,HydroReservoir,WindOffShore,0.0
435,2010,HydroReservoir,CCG_H2,0.0
436,2010,HydroReservoir,NewNuke,0.0
437,2010,HydroReservoir,TAC,0.0
438,2010,HydroReservoir,OldNuke,0.0
439,2010,HydroReservoir,Solar,0.0
440,2010,HydroReservoir,IntercoOut,0.0
441,2010,HydroReservoir,HydroRiver,0.0
442,2010,HydroReservoir,IntercoIn,0.0
443,2010,HydroReservoir,HydroReservoir,0.0
444,2010,HydroReservoir,WindOnShore,0.0
445,2010,HydroReservoir,TAC_H2,0.0
446,2010,HydroReservoir,curtailment,0.0
447,2010,HydroReservoir,Coal_p,0.0
448,2010,WindOnShore,CCG,0.0
449,2010,WindOnShore,electrolysis_AEL,0.0
450,2010,WindOnShore,WindOffShore,0.0
