TIMESTAMP,Calendrier,HTA,sup36,inf36
300,HPH,35.2,52.8,39.4
301,HPH,35.2,52.8,39.4
302,HPH,35.2,52.8,39.4
303,HPH,35.2,52.8,39.4
304,HPH,35.2,52.8,39.4
305,HPH,35.2,52.8,39.4
306,HPH,35.2,52.8,39.4
307,P,44.2,52.8,39.4
308,P,44.2,52.8,39.4
309,HPH,35.2,52.8,39.4
310,HPH,35.2,52.8,39.4
311,HCH,22.6,36.4,39.4
312,HCH,22.6,36.4,39.4
313,HCH,22.6,36.4,39.4
314,HCH,22.6,36.4,39.4
315,HCH,22.6,36.4,39.4
316,HCH,22.6,36.4,39.4
317,HCH,22.6,36.4,39.4
318,HCH,22.6,36.4,39.4
319,P,44.2,52.8,39.4
320,P,44.2,52.8,39.4
321,HPH,35.2,52.8,39.4
322,HPH,35.2,52.8,39.4
323,HPH,35.2,52.8,39.4
324,HPH,35.2,52.8,39.4
325,HPH,35.2,52.8,39.4
326,HPH,35.2,52.8,39.4
327,HPH,35.2,52.8,39.4
328,HPH,35.2,52.8,39.4
329,HPH,35.2,52.8,39.4
330,HPH,35.2,52.8,39.4
331,P,44.2,52.8,39.4
332,P,44.2,52.8,39.4
333,HPH,35.2,52.8,39.4
334,HPH,35.2,52.8,39.4
335,HCH,22.6,36.4,39.4
336,HCH,22.6,36.4,39.4
337,HCH,22.6,36.4,39.4
338,HCH,22.6,36.4,39.4
339,HCH,22.6,36.4,39.4
340,HCH,22.6,36.4,39.4
341,HCH,22.6,36.4,39.4
342,HCH,22.6,36.4,39.4
343,P,44.2,52.8,39.4
344,P,44.2,52.8,39.4
345,HPH,35.2,52.8,39.4
346,HPH,35.2,52.8,39.4
347,HPH,35.2,52.8,39.4
348,HPH,35.2,52.8,39.4
349,HPH,35.2,52.8,39.4
350,HPH,35.2,52.8,39.4
351,HPH,35.2,52.8,39.4
352,HPH,35.2,52.8,39.4
353,HPH,35.2,52.8,39.4
354,HPH,35.2,52.8,39.4
355,P,44.2,52.8,39.4
356,P,44.2,52.8,39.4
357,HPH,35.2,52.8,39.4
358,HPH,35.2,52.8,39.4
359,HCH,22.6,36.4,39.4
360,HCH,22.6,36.4,39.4
361,HCH,22.6,36.4,39.4
362,HCH,22.6,36.4,39.4
363,HCH,22.6,36.4,39.4
364,HCH,22.6,36.4,39.4
365,HCH,22.6,36.4,39.4
366,HCH,22.6,36.4,39.4
367,P,44.2,52.8,39.4
368,P,44.2,52.8,39.4
369,HPH,35.2,52.8,39.4
370,HPH,35.2,52.8,39.4
371,HPH,35.2,52.8,39.4
372,HPH,35.2,52.8,39.4
373,HPH,35.2,52.8,39.4
374,HPH,35.2,52.8,39.4
375,HPH,35.2,52.8,39.4
376,HPH,35.2,52.8,39.4
377,HPH,35.2,52.8,39.4
378,HPH,35.2,52.8,39.4
379,P,44.2,52.8,39.4
380,P,44.2,52.8,39.4
381,HPH,35.2,52.8,39.4
382,HPH,35.2,52.8,39.4
383,HCH,22.6,36.4,39.4
384,HCH,22.6,36.4,39.4
385,HCH,22.6,36.4,39.4
386,HCH,22.6,36.4,39.4
387,HCH,22.6,36.4,39.4
388,HCH,22.6,36.4,39.4
389,HCH,22.6,36.4,39.4
390,HCH,22.6,36.4,39.4
391,P,44.2,52.8,39.4
392,P,44.2,52.8,39.4
393,HPH,35.2,52.8,39.4
394,HPH,35.2,52.8,39.4
395,HPH,35.2,52.8,39.4
396,HPH,35.2,52.8,39.4
397,HPH,35.2,52.8,39.4
398,HPH,35.2,52.8,39.4
399,HPH,35.2,52.8,39.4
400,HPH,35.2,52.8,39.4
401,HPH,35.2,52.8,39.4
402,HPH,35.2,52.8,39.4
403,P,44.2,52.8,39.4
404,P,44.2,52.8,39.4
405,HPH,35.2,52.8,39.4
406,HPH,35.2,52.8,39.4
407,HCH,22.6,36.4,39.4
408,HCH,22.6,36.4,39.4
409,HCH,22.6,36.4,39.4
410,HCH,22.6,36.4,39.4
411,HCH,22.6,36.4,39.4
412,HCH,22.6,36.4,39.4
413,HCH,22.6,36.4,39.4
414,HCH,22.6,36.4,39.4
415,P,44.2,52.8,39.4
416,P,44.2,52.8,39.4
417,HPH,35.2,52.8,39.4
418,HPH,35.2,52.8,39.4
419,HPH,35.2,52.8,39.4
420,HPH,35.2,52.8,39.4
421,HPH,35.2,52.8,39.4
422,HPH,35.2,52.8,39.4
423,HPH,35.2,52.8,39.4
424,HPH,35.2,52.8,39.4
425,HPH,35.2,52.8,39.4
426,HPH,35.2,52.8,39.4
427,P,44.2,52.8,39.4
428,P,44.2,52.8,39.4
429,HPH,35.2,52.8,39.4
430,HPH,35.2,52.8,39.4
431,HCH,22.6,36.4,39.4
432,HCH,22.6,36.4,39.4
433,HCH,22.6,36.4,39.4
434,HCH,22.6,36.4,39.4
435,HCH,22.6,36.4,39.4
436,HCH,22.6,36.4,39.4
437,HCH,22.6,36.4,39.4
438,HCH,22.6,36.4,39.4
439,P,44.2,52.8,39.4
440,P,44.2,52.8,39.4
441,HPH,35.2,52.8,39.4
442,HPH,35.2,52.8,39.4
443,HPH,35.2,52.8,39.4
444,HPH,35.2,52.8,39.4
445,HPH,35.2,52.8,39.4
446,HPH,35.2,52.8,39.4
447,HPH,35.2,52.8,39.4
448,HPH,35.2,52.8,39.4
449,HPH,35.2,52.8,39.4
450,HPH,35.2,52.8,39.4
451,P,44.2,52.8,39.4
452,P,44.2,52.8,39.4
453,HPH,35.2,52.8,39.4
454,HPH,35.2,52.8,39.4
455,HCH,22.6,36.4,39.4
456,HCH,22.6,36.4,39.4
457,HCH,22.6,36.4,39.4
458,HCH,22.6,36.4,39.4
459,HCH,22.6,36.4,39.4
460,HCH,22.6,36.4,39.4
461,HCH,22.6,36.4,39.4
462,HCH,22.6,36.4,39.4
463,P,44.2,52.8,39.4
464,P,44.2,52.8,39.4
465,HPH,35.2,52.8,39.4
466,HPH,35.2,52.8,39.4
467,HPH,35.2,52.8,39.4
468,HPH,35.2,52.8,39.4
469,HPH,35.2,52.8,39.4
470,HPH,35.2,52.8,39.4
471,HPH,35.2,52.8,39.4
472,HPH,35.2,52.8,39.4
473,HPH,35.2,52.8,39.4
474,HPH,35.2,52.8,39.4
475,P,44.2,52.8,39.4
476,P,44.2,52.8,39.4
477,HPH,35.2,52.8,39.4
478,HPH,35.2,52.8,39.4
479,HCH,22.6,36.4,39.4
480,HCH,22.6,36.4,39.4
481,HCH,22.6,36.4,39.4
482,HCH,22.6,36.4,39.4
483,HCH,22.6,36.4,39.4
484,HCH,22.6,36.4,39.4
485,HCH,22.6,36.4,39.4
486,HCH,22.6,36.4,39.4
487,P,44.2,52.8,39.4
488,P,44.2,52.8,39.4
489,HPH,35.2,52.8,39.4
490,HPH,35.2,52.8,39.4
491,HPH,35.2,52.8,39.4
492,HPH,35.2,52.8,39.4
493,HPH,35.2,52.8,39.4
494,HPH,35.2,52.8,39.4
495,HPH,35.2,52.8,39.4
496,HPH,35.2,52.8,39.4
497,HPH,35.2,52.8,39.4
498,HPH,35.2,52.8,39.4
499,P,44.2,52.8,39.4
500,P,44.2,52.8,39.4
501,HPH,35.2,52.8,39.4
502,HPH,35.2,52.8,39.4
503,HCH,22.6,36.4,39.4
504,HCH,22.6,36.4,39.4
505,HCH,22.6,36.4,39.4
506,HCH,22.6,36.4,39.4
507,HCH,22.6,36.4,39.4
508,HCH,22.6,36.4,39.4
509,HCH,22.6,36.4,39.4
510,HCH,22.6,36.4,39.4
511,P,44.2,52.8,39.4
512,P,44.2,52.8,39.4
513,HPH,35.2,52.8,39.4
514,HPH,35.2,52.8,39.4
515,HPH,35.2,52.8,39.4
516,HPH,35.2,52.8,39.4
517,HPH,35.2,52.8,39.4
518,HPH,35.2,52.8,39.4
519,HPH,35.2,52.8,39.4
520,HPH,35.2,52.8,39.4
521,HPH,35.2,52.8,39.4
522,HPH,35.2,52.8,39.4
523,P,44.2,52.8,39.4
524,P,44.2,52.8,39.4
525,HPH,35.2,52.8,39.4
526,HPH,35.2,52.8,39.4
