YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,493,electricity,0
2030,494,electricity,0
2030,495,electricity,0
2030,496,electricity,0
2030,497,electricity,0
2030,498,electricity,0
2030,499,electricity,0
2030,500,electricity,0
2030,501,electricity,0
2030,502,electricity,0
2030,503,electricity,0
2030,504,electricity,0
2030,505,electricity,0
2030,506,electricity,0
2030,507,electricity,0
2030,508,electricity,0
2030,509,electricity,0
2030,510,electricity,0
2030,511,electricity,0
2030,512,electricity,0
2030,513,electricity,0
2030,514,electricity,0
2030,515,electricity,0
2030,516,electricity,0
2030,517,electricity,0
2030,518,electricity,0
2030,519,electricity,0
2030,520,electricity,0
2030,521,electricity,0
2030,522,electricity,0
2030,523,electricity,0
2030,524,electricity,0
2030,525,electricity,0
2030,526,electricity,0
2030,527,electricity,0
2030,528,electricity,0
2030,529,electricity,0
2030,530,electricity,0
2030,531,electricity,0
2030,532,electricity,0
2030,533,electricity,0
2030,534,electricity,0
2030,535,electricity,0
2030,536,electricity,0
2030,537,electricity,0
2030,538,electricity,0
2030,539,electricity,0
2030,540,electricity,0
2030,541,electricity,0
2030,542,electricity,0
2030,543,electricity,0
2030,544,electricity,0
2030,545,electricity,0
2030,546,electricity,0
2030,547,electricity,0
2030,548,electricity,0
2030,549,electricity,0
2030,550,electricity,0
2030,551,electricity,0
2030,552,electricity,0
2030,553,electricity,0
2030,554,electricity,0
2030,555,electricity,0
2030,556,electricity,0
2030,557,electricity,0
2030,558,electricity,0
2030,559,electricity,0
2030,560,electricity,0
2030,561,electricity,0
2030,562,electricity,0
2030,563,electricity,0
2030,564,electricity,0
2030,565,electricity,0
2030,566,electricity,0
2030,567,electricity,0
2030,568,electricity,0
2030,569,electricity,0
2030,570,electricity,0
2030,571,electricity,0
2030,572,electricity,0
2030,573,electricity,0
2030,574,electricity,0
2030,575,electricity,0
2030,576,electricity,0
2030,577,electricity,0
2030,578,electricity,0
2030,579,electricity,0
2030,580,electricity,0
2030,581,electricity,0
2030,582,electricity,0
2030,583,electricity,0
2030,584,electricity,0
2030,585,electricity,0
2030,586,electricity,0
2030,587,electricity,0
2030,588,electricity,0
2030,589,electricity,0
2030,590,electricity,0
2030,591,electricity,0
2030,592,electricity,0
2030,593,electricity,0
