TIMESTAMP,RESSOURCES,importCost
507,electricity,12.5
508,electricity,7.59
509,electricity,21.12
510,electricity,33.08
511,electricity,42.95
512,electricity,45.06
513,electricity,46.44
514,electricity,45.49
515,electricity,48.39
516,electricity,47
517,electricity,47.39
518,electricity,46.34
519,electricity,43.94
520,electricity,43.65
521,electricity,49.5
522,electricity,51
523,electricity,48.05
524,electricity,42.82
525,electricity,38.99
526,electricity,37.99
527,electricity,35.84
528,electricity,34.2
529,electricity,32.52
530,electricity,31.54
531,electricity,30.38
532,electricity,30.97
533,electricity,32.48
534,electricity,40
535,electricity,48.93
536,electricity,52.74
537,electricity,50.79
538,electricity,48.2
539,electricity,44.91
540,electricity,41.94
541,electricity,41.83
542,electricity,39
543,electricity,37.5
544,electricity,35.63
545,electricity,40.94
546,electricity,42.9
547,electricity,40.97
548,electricity,36.48
549,electricity,31.31
550,electricity,30.31
551,electricity,24.35
552,electricity,21.22
553,electricity,19.79
554,electricity,12.94
555,electricity,11.4
556,electricity,11.23
557,electricity,16.74
558,electricity,28.92
559,electricity,42.49
560,electricity,45.58
561,electricity,43.52
562,electricity,39.91
563,electricity,37.92
564,electricity,36.84
565,electricity,35.73
566,electricity,31.33
567,electricity,29.45
568,electricity,31.32
569,electricity,34.53
570,electricity,43.72
571,electricity,41.33
572,electricity,30.89
573,electricity,24.64
574,electricity,23.53
575,electricity,19.81
576,electricity,12.22
577,electricity,13.14
578,electricity,10.31
579,electricity,9.03
580,electricity,8.76
581,electricity,14.24
582,electricity,29.54
583,electricity,40.94
584,electricity,41.3
585,electricity,40.09
586,electricity,39.76
587,electricity,39.84
588,electricity,40.83
589,electricity,41.13
590,electricity,43.98
591,electricity,45.29
592,electricity,45.47
593,electricity,49.37
594,electricity,53.23
595,electricity,49.93
596,electricity,43.71
597,electricity,38.98
598,electricity,38.62
599,electricity,35.31
600,electricity,37.23
601,electricity,35.03
602,electricity,34.1
603,electricity,33.01
604,electricity,32.8
605,electricity,34.9
606,electricity,39.91
607,electricity,51.27
608,electricity,54.72
609,electricity,54.52
610,electricity,54.02
611,electricity,53.18
612,electricity,50.23
613,electricity,49.2
614,electricity,48.96
615,electricity,48.25
616,electricity,48.25
617,electricity,51.15
618,electricity,54.7
619,electricity,52.09
620,electricity,46
621,electricity,40.44
622,electricity,40.43
623,electricity,39
624,electricity,36.81
625,electricity,33.8
626,electricity,32.87
627,electricity,32.53
628,electricity,32.53
629,electricity,31.79
630,electricity,32.51
631,electricity,34.65
632,electricity,43.45
633,electricity,47.19
634,electricity,47.04
635,electricity,43.93
636,electricity,41.92
637,electricity,38.06
638,electricity,32.5
639,electricity,32.1
640,electricity,32.06
641,electricity,37
